Date,day.to.ddl,y,diff.y,Age,Dose
2021/6/2,-367,0.008311726,0.001013869,12to17,Dose1
2021/6/3,-366,0.009466436,0.00115471,12to17,Dose1
2021/6/4,-365,0.010781547,0.001315111,12to17,Dose1
2021/6/5,-364,0.012279336,0.001497789,12to17,Dose1
2021/6/6,-363,0.013985171,0.001705835,12to17,Dose1
2021/6/7,-362,0.01592794,0.00194277,12to17,Dose1
2021/6/8,-361,0.018140544,0.002212603,12to17,Dose1
2021/6/9,-360,0.020660443,0.0025199,12to17,Dose1
2021/6/10,-359,0.023530299,0.002869856,12to17,Dose1
2021/6/11,-358,0.026798688,0.003268389,12to17,Dose1
2021/6/12,-357,0.030520921,0.003722233,12to17,Dose1
2021/6/13,-356,0.034759978,0.004239057,12to17,Dose1
2021/6/14,-355,0.039587565,0.004827587,12to17,Dose1
2021/6/15,-354,0.045085321,0.005497756,12to17,Dose1
2021/6/16,-353,0.051346189,0.006260868,12to17,Dose1
2021/6/17,-352,0.058475977,0.007129787,12to17,Dose1
2021/6/18,-351,0.066595125,0.008119149,12to17,Dose1
2021/6/19,-350,0.075840727,0.009245602,12to17,Dose1
2021/6/20,-349,0.086368812,0.010528085,12to17,Dose1
2021/6/21,-348,0.098356948,0.011988136,12to17,Dose1
2021/6/22,-347,0.112007188,0.01365024,12to17,Dose1
2021/6/23,-346,0.127549421,0.015542233,12to17,Dose1
2021/6/24,-345,0.145245169,0.017695748,12to17,Dose1
2021/6/25,-344,0.165391888,0.020146719,12to17,Dose1
2021/6/26,-343,0.188327844,0.022935956,12to17,Dose1
2021/6/27,-342,0.214437632,0.026109788,12to17,Dose1
2021/6/28,-341,0.244158412,0.02972078,12to17,Dose1
2021/6/29,-340,0.277986956,0.033828544,12to17,Dose1
2021/6/30,-339,0.316487601,0.038500645,12to17,Dose1
2021/7/1,-338,0.360301207,0.043813606,12to17,Dose1
2021/7/2,-337,0.410155236,0.049854028,12to17,Dose1
2021/7/3,-336,0.466875064,0.056719828,12to17,Dose1
2021/7/4,-335,0.53139667,0.064521606,12to17,Dose1
2021/7/5,-334,0.604780806,0.073384136,12to17,Dose1
2021/7/6,-333,0.688228798,0.083447992,12to17,Dose1
2021/7/7,-332,0.783100101,0.094871303,12to17,Dose1
2021/7/8,-331,0.890931724,0.107831622,12to17,Dose1
2021/7/9,-330,1.013459628,0.122527904,12to17,Dose1
2021/7/10,-329,1.152642176,0.139182548,12to17,Dose1
2021/7/11,-328,1.31068565,0.158043474,12to17,Dose1
2021/7/12,-327,1.490071819,0.179386169,12to17,Dose1
2021/7/13,-326,1.693587429,0.20351561,12to17,Dose1
2021/7/14,-325,1.924355381,0.230767952,12to17,Dose1
2021/7/15,-324,2.185867214,0.261511832,12to17,Dose1
2021/7/16,-323,2.482016293,0.296149079,12to17,Dose1
2021/7/17,-322,2.817130876,0.335114583,12to17,Dose1
2021/7/18,-321,3.196005888,0.378875012,12to17,Dose1
2021/7/19,-320,3.623931872,0.427925984,12to17,Dose1
2021/7/20,-319,4.106719107,0.482787235,12to17,Dose1
2021/7/21,-318,4.650714366,0.543995259,12to17,Dose1
2021/7/22,-317,5.262807159,0.612092793,12to17,Dose1
2021/7/23,-316,5.950421673,0.687614514,12to17,Dose1
2021/7/24,-315,6.721489928,0.771068255,12to17,Dose1
2021/7/25,-314,7.584401044,0.862911115,12to17,Dose1
2021/7/26,-313,8.547920975,0.963519931,12to17,Dose1
2021/7/27,-312,9.621076803,1.073155828,12to17,Dose1
2021/7/28,-311,10.81299973,1.191922932,12to17,Dose1
2021/7/29,-310,12.13272162,1.31972189,12to17,Dose1
2021/7/30,-309,13.58892121,1.456199581,12to17,Dose1
2021/7/31,-308,15.18961857,1.600697365,12to17,Dose1
2021/8/1,-307,16.94181989,1.752201321,12to17,Dose1
2021/8/2,-306,18.85111897,1.909299077,12to17,Dose1
2021/8/3,-305,20.92126793,2.070148959,12to17,Dose1
2021/8/4,-304,23.15373586,2.232467937,12to17,Dose1
2021/8/5,-303,25.54728091,2.393545048,12to17,Dose1
2021/8/6,-302,28.09756725,2.550286333,12to17,Dose1
2021/8/7,-301,30.79686275,2.699295502,12to17,Dose1
2021/8/8,-300,33.63385431,2.836991558,12to17,Dose1
2021/8/9,-299,36.59361482,2.959760512,12to17,Dose1
2021/8/10,-298,39.65774828,3.064133466,12to17,Dose1
2021/8/11,-297,42.80472688,3.146978598,12to17,Dose1
2021/8/12,-296,46.01041749,3.205690607,12to17,Dose1
2021/8/13,-295,49.24877666,3.238359166,12to17,Dose1
2021/8/14,-294,52.49267502,3.243898365,12to17,Dose1
2021/8/15,-293,55.71479747,3.222122453,12to17,Dose1
2021/8/16,-292,58.88855642,3.173758944,12to17,Dose1
2021/8/17,-291,61.98895395,3.100397533,12to17,Dose1
2021/8/18,-290,64.99333483,3.004380877,12to17,Dose1
2021/8/19,-289,67.88198471,2.888649879,12to17,Dose1
2021/8/20,-288,70.63854518,2.756560472,12to17,Dose1
2021/8/21,-287,73.2502357,2.611690518,12to17,Dose1
2021/8/22,-286,75.70789004,2.457654346,12to17,Dose1
2021/8/23,-285,78.00582921,2.297939163,12to17,Dose1
2021/8/24,-284,80.14160224,2.13577303,12to17,Dose1
2021/8/25,-283,82.11563143,1.97402919,12to17,Dose1
2021/8/26,-282,83.93079847,1.815167042,12to17,Dose1
2021/8/27,-281,85.59200509,1.661206624,12to17,Dose1
2021/8/28,-280,87.10573624,1.513731152,12to17,Dose1
2021/8/29,-279,88.47964732,1.373911075,12to17,Dose1
2021/8/30,-278,89.72219033,1.242543005,12to17,Dose1
2021/8/31,-277,90.84228776,1.120097434,12to17,Dose1
2021/9/1,-276,91.84905792,1.006770159,12to17,Dose1
2021/9/2,-275,92.75159143,0.902533508,12to17,Dose1
2021/9/3,-274,93.558776,0.807184574,12to17,Dose1
2021/9/4,-273,94.27916472,0.720388718,12to17,Dose1
2021/9/5,-272,94.92088214,0.641717422,12to17,Dose1
2021/9/6,-271,95.49156233,0.570680189,12to17,Dose1
2021/9/7,-270,95.99831299,0.506750662,12to17,Dose1
2021/9/8,-269,96.4477004,0.449387405,12to17,Dose1
2021/9/9,-268,96.84575033,0.398049935,12to17,Dose1
2021/9/10,-267,97.19796102,0.352210685,12to17,Dose1
2021/9/11,-266,97.50932459,0.311363572,12to17,Dose1
2021/9/12,-265,97.78435436,0.275029774,12to17,Dose1
2021/9/13,-264,98.02711568,0.242761315,12to17,Dose1
2021/9/14,-263,98.2412586,0.21414292,12to17,Dose1
2021/9/15,-262,98.43005117,0.18879257,12to17,Dose1
2021/9/16,-261,98.59641227,0.166361101,12to17,Dose1
2021/9/17,-260,98.74294338,0.14653111,12to17,Dose1
2021/9/18,-259,98.87195878,0.129015401,12to17,Dose1
2021/9/19,-258,98.98551393,0.113555147,12to17,Dose1
2021/9/20,-257,99.0854318,0.099917874,12to17,Dose1
2021/9/21,-256,99.1733272,0.087895395,12to17,Dose1
2021/9/22,-255,99.25062894,0.077301741,12to17,Dose1
2021/9/23,-254,99.3186001,0.067971159,12to17,Dose1
2021/9/24,-253,99.37835629,0.059756191,12to17,Dose1
2021/9/25,-252,99.43088216,0.052525876,12to17,Dose1
2021/9/26,-251,99.47704623,0.046164068,12to17,Dose1
2021/9/27,-250,99.51761412,0.040567891,12to17,Dose1
2021/9/28,-249,99.55326044,0.035646322,12to17,Dose1
2021/9/29,-248,99.58457935,0.031318904,12to17,Dose1
2021/9/30,-247,99.61209392,0.027514576,12to17,Dose1
2021/10/1,-246,99.63626455,0.024170624,12to17,Dose1
2021/10/2,-245,99.65749628,0.021231734,12to17,Dose1
2021/10/3,-244,99.67614543,0.018649146,12to17,Dose1
2021/10/4,-243,99.69252533,0.016379901,12to17,Dose1
2021/10/5,-242,99.70691149,0.014386164,12to17,Dose1
2021/10/6,-241,99.71954612,0.012634626,12to17,Dose1
2021/10/7,-240,99.73064209,0.011095974,12to17,Dose1
2021/10/8,-239,99.74038651,0.009744417,12to17,Dose1
2021/10/9,-238,99.74894378,0.008557271,12to17,Dose1
2021/10/10,-237,99.75645837,0.007514584,12to17,Dose1
2021/10/11,-236,99.76305718,0.006598817,12to17,Dose1
2021/10/12,-235,99.76885173,0.00579455,12to17,Dose1
2021/10/13,-234,99.77393996,0.005088231,12to17,Dose1
2021/10/14,-233,99.77840791,0.004467948,12to17,Dose1
2021/10/15,-232,99.78233115,0.003923235,12to17,Dose1
2021/10/16,-231,99.78577604,0.003444895,12to17,Dose1
2021/10/17,-230,99.78880089,0.00302485,12to17,Dose1
2021/10/18,-229,99.79145689,0.002656001,12to17,Dose1
2021/10/19,-228,99.79378901,0.002332114,12to17,Dose1
2021/10/20,-227,99.79583672,0.00204771,12to17,Dose1
2021/10/21,-226,99.7976347,0.00179798,12to17,Dose1
2021/10/22,-225,99.7992134,0.001578699,12to17,Dose1
2021/10/23,-224,99.80059955,0.001386155,12to17,Dose1
2021/10/24,-223,99.80181664,0.001217091,12to17,Dose1
2021/10/25,-222,99.80288528,0.001068643,12to17,Dose1
2021/10/26,-221,99.80382358,0.000938298,12to17,Dose1
2021/10/27,-220,99.80464743,0.00082385,12to17,Dose1
2021/10/28,-219,99.80537079,0.00072336,12to17,Dose1
2021/10/29,-218,99.80600592,0.000635127,12to17,Dose1
2021/10/30,-217,99.80656357,0.000557655,12to17,Dose1
2021/10/31,-216,99.80705321,0.000489632,12to17,Dose1
2021/11/1,-215,99.80748311,0.000429906,12to17,Dose1
2021/11/2,-214,99.80786058,0.000377465,12to17,Dose1
2021/11/3,-213,99.808192,0.00033142,12to17,Dose1
2021/11/4,-212,99.80848299,0.000290992,12to17,Dose1
2021/11/5,-211,99.80873849,0.000255496,12to17,Dose1
2021/11/6,-210,99.80896281,0.000224329,12to17,Dose1
2021/11/7,-209,99.80915978,0.000196964,12to17,Dose1
2021/11/8,-208,99.80933272,0.000172937,12to17,Dose1
2021/11/9,-207,99.80948456,0.000151841,12to17,Dose1
2021/11/10,-206,99.80961787,0.000133318,12to17,Dose1
2021/11/11,-205,99.80973493,0.000117055,12to17,Dose1
2021/11/12,-204,99.80983771,0.000102776,12to17,Dose1
2021/11/13,-203,99.80992794,9.02E-05,12to17,Dose1
2021/11/14,-202,99.81000718,7.92E-05,12to17,Dose1
2021/11/15,-201,99.81007674,6.96E-05,12to17,Dose1
2021/11/16,-200,99.81013782,6.11E-05,12to17,Dose1
2021/11/17,-199,99.81019145,5.36E-05,12to17,Dose1
2021/11/18,-198,99.81023853,4.71E-05,12to17,Dose1
2021/11/19,-197,99.81027988,4.13E-05,12to17,Dose1
2021/11/20,-196,99.81031618,3.63E-05,12to17,Dose1
2021/11/21,-195,99.81034805,3.19E-05,12to17,Dose1
2021/11/22,-194,99.81037603,2.80E-05,12to17,Dose1
2021/11/23,-193,99.8104006,2.46E-05,12to17,Dose1
2021/11/24,-192,99.81042217,2.16E-05,12to17,Dose1
2021/11/25,-191,99.81044111,1.89E-05,12to17,Dose1
2021/11/26,-190,99.81045774,1.66E-05,12to17,Dose1
2021/11/27,-189,99.81047234,1.46E-05,12to17,Dose1
2021/11/28,-188,99.81048516,1.28E-05,12to17,Dose1
2021/11/29,-187,99.81049642,1.13E-05,12to17,Dose1
2021/11/30,-186,99.8105063,9.88E-06,12to17,Dose1
2021/12/1,-185,99.81051498,8.68E-06,12to17,Dose1
2021/12/2,-184,99.8105226,7.62E-06,12to17,Dose1
2021/12/3,-183,99.81052929,6.69E-06,12to17,Dose1
2021/12/4,-182,99.81053516,5.87E-06,12to17,Dose1
2021/12/5,-181,99.81054032,5.16E-06,12to17,Dose1
2021/12/6,-180,99.81054485,4.53E-06,12to17,Dose1
2021/12/7,-179,99.81054882,3.98E-06,12to17,Dose1
2021/12/8,-178,99.81055231,3.49E-06,12to17,Dose1
2021/12/9,-177,99.81055538,3.06E-06,12to17,Dose1
2021/12/10,-176,99.81055807,2.69E-06,12to17,Dose1
2021/12/11,-175,99.81056043,2.36E-06,12to17,Dose1
2021/12/12,-174,99.8105625,2.07E-06,12to17,Dose1
2021/12/13,-173,99.81056433,1.82E-06,12to17,Dose1
2021/12/14,-172,99.81056593,1.60E-06,12to17,Dose1
2021/12/15,-171,99.81056733,1.40E-06,12to17,Dose1
2021/12/16,-170,99.81056856,1.23E-06,12to17,Dose1
2021/12/17,-169,99.81056964,1.08E-06,12to17,Dose1
2021/12/18,-168,99.81057059,9.50E-07,12to17,Dose1
2021/12/19,-167,99.81057143,8.34E-07,12to17,Dose1
2021/12/20,-166,99.81057216,7.33E-07,12to17,Dose1
2021/12/21,-165,99.81057281,6.43E-07,12to17,Dose1
2021/12/22,-164,99.81057337,5.65E-07,12to17,Dose1
2021/7/23,-316,2.064994259,0,12to17,Dose2
2021/7/24,-315,2.261967247,0.196972988,12to17,Dose2
2021/7/25,-314,2.477250877,0.215283629,12to17,Dose2
2021/7/26,-313,2.71245233,0.235201453,12to17,Dose2
2021/7/27,-312,2.969301067,0.256848738,12to17,Dose2
2021/7/28,-311,3.249654376,0.280353309,12to17,Dose2
2021/7/29,-310,3.555502354,0.305847978,12to17,Dose2
2021/7/30,-309,3.888972118,0.333469764,12to17,Dose2
2021/7/31,-308,4.252330968,0.36335885,12to17,Dose2
2021/8/1,-307,4.647988212,0.395657245,12to17,Dose2
2021/8/2,-306,5.078495304,0.430507092,12to17,Dose2
2021/8/3,-305,5.54654389,0.468048586,12to17,Dose2
2021/8/4,-304,6.054961341,0.508417451,12to17,Dose2
2021/8/5,-303,6.606703268,0.551741928,12to17,Dose2
2021/8/6,-302,7.204842512,0.598139243,12to17,Dose2
2021/8/7,-301,7.85255403,0.647711519,12to17,Dose2
2021/8/8,-300,8.553095134,0.700541104,12to17,Dose2
2021/8/9,-299,9.309780476,0.756685342,12to17,Dose2
2021/8/10,-298,10.12595126,0.816170781,12to17,Dose2
2021/8/11,-297,11.00493815,0.878986895,12to17,Dose2
2021/8/12,-296,11.95001757,0.945079413,12to17,Dose2
2021/8/13,-295,12.96436095,1.014343388,12to17,Dose2
2021/8/14,-294,14.05097716,1.086616208,12to17,Dose2
2021/8/15,-293,15.21264796,1.161670795,12to17,Dose2
2021/8/16,-292,16.45185727,1.239209311,12to17,Dose2
2021/8/17,-291,17.77071499,1.318857721,12to17,Dose2
2021/8/18,-290,19.17087664,1.400161646,12to17,Dose2
2021/8/19,-289,20.6534606,1.482583962,12to17,Dose2
2021/8/20,-288,22.21896519,1.56550459,12to17,Dose2
2021/8/21,-287,23.86718816,1.648222975,12to17,Dose2
2021/8/22,-286,25.59715178,1.72996362,12to17,Dose2
2021/8/23,-285,27.40703681,1.809885031,12to17,Dose2
2021/8/24,-284,29.29412904,1.88709223,12to17,Dose2
2021/8/25,-283,31.2547819,1.960652862,12to17,Dose2
2021/8/26,-282,33.28439858,2.029616678,12to17,Dose2
2021/8/27,-281,35.37743653,2.093037948,12to17,Dose2
2021/8/28,-280,37.52743663,2.150000101,12to17,Dose2
2021/8/29,-279,39.7270783,2.199641667,12to17,Dose2
2021/8/30,-278,41.96826068,2.241182383,12to17,Dose2
2021/8/31,-277,44.24220888,2.273948199,12to17,Dose2
2021/9/1,-276,46.53960276,2.297393881,12to17,Dose2
2021/9/2,-275,48.8507247,2.311121941,12to17,Dose2
2021/9/3,-274,51.1656215,2.314896797,12to17,Dose2
2021/9/4,-273,53.4742748,2.308653302,12to17,Dose2
2021/9/5,-272,55.76677392,2.29249912,12to17,Dose2
2021/9/6,-271,58.03348473,2.266710807,12to17,Dose2
2021/9/7,-270,60.26520855,2.231723822,12to17,Dose2
2021/9/8,-269,62.45332565,2.188117104,12to17,Dose2
2021/9/9,-268,64.58991878,2.136593128,12to17,Dose2
2021/9/10,-267,66.66787337,2.077954583,12to17,Dose2
2021/9/11,-266,68.68095234,2.013078974,12to17,Dose2
2021/9/12,-265,70.62384479,1.942892446,12to17,Dose2
2021/9/13,-264,72.49218885,1.868344062,12to17,Dose2
2021/9/14,-263,74.28257048,1.790381635,12to17,Dose2
2021/9/15,-262,75.99250047,1.709929983,12to17,Dose2
2021/9/16,-261,77.62037271,1.627872248,12to17,Dose2
2021/9/17,-260,79.16540738,1.545034662,12to17,Dose2
2021/9/18,-259,80.6275823,1.462174926,12to17,Dose2
2021/9/19,-258,82.00755643,1.379974129,12to17,Dose2
2021/9/20,-257,83.30658843,1.299031997,12to17,Dose2
2021/9/21,-256,84.52645356,1.219865128,12to17,Dose2
2021/9/22,-255,85.66936133,1.142907777,12to17,Dose2
2021/9/23,-254,86.73787607,1.068514734,12to17,Dose2
2021/9/24,-253,87.7348419,0.996965834,12to17,Dose2
2021/9/25,-252,88.66331354,0.928471636,12to17,Dose2
2021/9/26,-251,89.52649342,0.863179881,12to17,Dose2
2021/9/27,-250,90.32767578,0.80118236,12to17,Dose2
2021/9/28,-249,91.07019769,0.742521914,12to17,Dose2
2021/9/29,-248,91.75739701,0.687199313,12to17,Dose2
2021/9/30,-247,92.39257685,0.635179844,12to17,Dose2
2021/10/1,-246,92.97897633,0.586399479,12to17,Dose2
2021/10/2,-245,93.51974685,0.540770522,12to17,Dose2
2021/10/3,-244,94.01793357,0.498186716,12to17,Dose2
2021/10/4,-243,94.47646132,0.458527756,12to17,Dose2
2021/10/5,-242,94.89812457,0.421663248,12to17,Dose2
2021/10/6,-241,95.28558068,0.387456105,12to17,Dose2
2021/10/7,-240,95.64134611,0.355765434,12to17,Dose2
2021/10/8,-239,95.96779506,0.326448948,12to17,Dose2
2021/10/9,-238,96.26716,0.299364946,12to17,Dose2
2021/10/10,-237,96.54153392,0.274373912,12to17,Dose2
2021/10/11,-236,96.7928737,0.25133978,12to17,Dose2
2021/10/12,-235,97.0230046,0.230130906,12to17,Dose2
2021/10/13,-234,97.23362539,0.210620788,12to17,Dose2
2021/10/14,-233,97.42631397,0.192688581,12to17,Dose2
2021/10/15,-232,97.6025334,0.176219425,12to17,Dose2
2021/10/16,-231,97.76363804,0.161104642,12to17,Dose2
2021/10/17,-230,97.91087984,0.147241797,12to17,Dose2
2021/10/18,-229,98.04541451,0.134534675,12to17,Dose2
2021/10/19,-228,98.16830769,0.122893178,12to17,Dose2
2021/10/20,-227,98.28054086,0.112233167,12to17,Dose2
2021/10/21,-226,98.38301711,0.102476254,12to17,Dose2
2021/10/22,-225,98.47656668,0.09354957,12to17,Dose2
2021/10/23,-224,98.56195218,0.085385504,12to17,Dose2
2021/10/24,-223,98.63987362,0.077921436,12to17,Dose2
2021/10/25,-222,98.71097308,0.071099456,12to17,Dose2
2021/10/26,-221,98.77583916,0.064866085,12to17,Dose2
2021/10/27,-220,98.83501116,0.059172002,12to17,Dose2
2021/10/28,-219,98.88898293,0.053971767,12to17,Dose2
2021/10/29,-218,98.93820649,0.049223563,12to17,Dose2
2021/10/30,-217,98.98309543,0.044888941,12to17,Dose2
2021/10/31,-216,99.02402801,0.040932579,12to17,Dose2
2021/11/1,-215,99.06135006,0.037322051,12to17,Dose2
2021/11/2,-214,99.09537768,0.034027615,12to17,Dose2
2021/11/3,-213,99.12639968,0.031022,12to17,Dose2
2021/11/4,-212,99.1546799,0.028280221,12to17,Dose2
2021/11/5,-211,99.1804593,0.025779398,12to17,Dose2
2021/11/6,-210,99.20395788,0.023498587,12to17,Dose2
2021/11/7,-209,99.22537651,0.021418625,12to17,Dose2
2021/11/8,-208,99.24489849,0.019521985,12to17,Dose2
2021/11/9,-207,99.26269114,0.017792642,12to17,Dose2
2021/11/10,-206,99.27890709,0.016215951,12to17,Dose2
2021/11/11,-205,99.29368562,0.014778529,12to17,Dose2
2021/11/12,-204,99.30715377,0.01346815,12to17,Dose2
2021/11/13,-203,99.31942742,0.01227365,12to17,Dose2
2021/11/14,-202,99.33061225,0.011184833,12to17,Dose2
2021/11/15,-201,99.34080464,0.010192393,12to17,Dose2
2021/11/16,-200,99.35009248,0.009287835,12to17,Dose2
2021/11/17,-199,99.35855589,0.008463408,12to17,Dose2
2021/11/18,-198,99.36626792,0.007712038,12to17,Dose2
2021/11/19,-197,99.3732952,0.007027273,12to17,Dose2
2021/11/20,-196,99.37969842,0.006403224,12to17,Dose2
2021/11/21,-195,99.38553294,0.005834523,12to17,Dose2
2021/11/22,-194,99.39084922,0.005316273,12to17,Dose2
2021/11/23,-193,99.39569322,0.004844008,12to17,Dose2
2021/11/24,-192,99.40010688,0.004413656,12to17,Dose2
2021/11/25,-191,99.40412838,0.004021504,12to17,Dose2
2021/11/26,-190,99.40779255,0.003664168,12to17,Dose2
2021/11/27,-189,99.41113111,0.003338559,12to17,Dose2
2021/11/28,-188,99.41417298,0.003041867,12to17,Dose2
2021/11/29,-187,99.4169445,0.002771525,12to17,Dose2
2021/11/30,-186,99.4194697,0.002525196,12to17,Dose2
2021/12/1,-185,99.42177045,0.00230075,12to17,Dose2
2021/12/2,-184,99.42386669,0.002096244,12to17,Dose2
2021/12/3,-183,99.4257766,0.001909908,12to17,Dose2
2021/12/4,-182,99.42751673,0.00174013,12to17,Dose2
2021/12/5,-181,99.42910217,0.001585438,12to17,Dose2
2021/12/6,-180,99.43054666,0.001444494,12to17,Dose2
2021/12/7,-179,99.43186274,0.001316076,12to17,Dose2
2021/12/8,-178,99.43306181,0.001199072,12to17,Dose2
2021/12/9,-177,99.43415428,0.001092467,12to17,Dose2
2021/12/10,-176,99.43514961,0.000995338,12to17,Dose2
2021/12/11,-175,99.43605646,0.000906843,12to17,Dose2
2021/12/12,-174,99.43688267,0.000826215,12to17,Dose2
2021/12/13,-173,99.43763543,0.000752754,12to17,Dose2
2021/12/14,-172,99.43832125,0.000685824,12to17,Dose2
2021/12/15,-171,99.43894609,0.000624844,12to17,Dose2
2021/12/16,-170,99.43951538,0.000569285,12to17,Dose2
2021/12/17,-169,99.44003404,0.000518666,12to17,Dose2
2021/12/18,-168,99.44050659,0.000472547,12to17,Dose2
2021/12/19,-167,99.44093712,0.000430529,12to17,Dose2
2021/12/20,-166,99.44132937,0.000392247,12to17,Dose2
2021/12/21,-165,99.44168674,0.000357368,12to17,Dose2
2021/12/22,-164,99.44201233,0.000325591,12to17,Dose2
2021/12/23,-163,99.44230897,0.000296639,12to17,Dose2
2021/12/24,-162,99.44257923,0.000270261,12to17,Dose2
2021/12/25,-161,99.44282545,0.000246229,12to17,Dose2
2021/12/26,-160,99.44304979,0.000224333,12to17,Dose2
2021/12/27,-159,99.44325417,0.000204385,12to17,Dose2
2021/12/28,-158,99.44344038,0.00018621,12to17,Dose2
2021/12/29,-157,99.44361004,0.000169652,12to17,Dose2
2021/12/30,-156,99.4437646,0.000154566,12to17,Dose2
2021/12/31,-155,99.44390542,0.000140821,12to17,Dose2
2022/1/1,-154,99.44403372,0.000128299,12to17,Dose2
2022/1/2,-153,99.44415061,0.00011689,12to17,Dose2
2022/1/3,-152,99.44425711,0.000106495,12to17,Dose2
2022/1/4,-151,99.44435413,9.70E-05,12to17,Dose2
2022/1/5,-150,99.44444253,8.84E-05,12to17,Dose2
2022/1/6,-149,99.44452307,8.05E-05,12to17,Dose2
2022/1/7,-148,99.44459644,7.34E-05,12to17,Dose2
2022/1/8,-147,99.44466329,6.68E-05,12to17,Dose2
2022/1/9,-146,99.4447242,6.09E-05,12to17,Dose2
2022/1/10,-145,99.44477968,5.55E-05,12to17,Dose2
2022/1/11,-144,99.44483024,5.06E-05,12to17,Dose2
2022/1/12,-143,99.4448763,4.61E-05,12to17,Dose2
2022/1/13,-142,99.44491826,4.20E-05,12to17,Dose2
2022/1/14,-141,99.44495649,3.82E-05,12to17,Dose2
2022/1/15,-140,99.44499132,3.48E-05,12to17,Dose2
2022/1/16,-139,99.44502306,3.17E-05,12to17,Dose2
2022/1/17,-138,99.44505197,2.89E-05,12to17,Dose2
2022/1/18,-137,99.44507831,2.63E-05,12to17,Dose2
2022/1/19,-136,99.44510231,2.40E-05,12to17,Dose2
2022/1/20,-135,99.44512418,2.19E-05,12to17,Dose2
2022/1/21,-134,99.4451441,1.99E-05,12to17,Dose2
2022/1/22,-133,99.44516225,1.81E-05,12to17,Dose2
2022/1/23,-132,99.44517878,1.65E-05,12to17,Dose2
2022/1/24,-131,99.44519384,1.51E-05,12to17,Dose2
